period,coef,se,ci_low,ci_high,n_treated,n_control
-2.0,0.37893308528254777,0.04588458902532598,0.28899929079290887,0.46886687977218666,11664,7568
-1.0,0.0,0.10522928713795303,-0.20624940279038792,0.20624940279038792,11664,7568
0.0,0.805368413320398,0.07691211102468357,0.6546206757120182,0.9561161509287778,11664,7568
1.0,-0.25612980890971393,0.1033583245706074,-0.45871212506810444,-0.05354749275132345,11664,7568
2.0,0.9948590203576446,0.09848571568022368,0.8018270176244062,1.187891023090883,11664,7568
3.0,0.11457983081973433,0.083679265784674,-0.04943153011822671,0.27859119175769537,11664,7568
4.0,1.4732019805192398,0.14784477154246625,1.183426228296006,1.7629777327424736,11664,7568
