period,coef,se,ci_low,ci_high
-3,1.536372225914987,.30508545,.93840474,2.1343398
-2,.7566057422480583,.15208332,.45852244,1.054689
-1,0,0,0,0
0,-.3799437216255988,.090387508,-.55710322,-.20278421
1,-.6477561736395921,.13828163,-.91878814,-.37672418
2,-.9124789410639866,.20821682,-1.3205839,-.50437397
3,-.792072622197345,.18221931,-1.1492225,-.43492278
4,-.1744938435877764,.067129314,-.30606729,-.042920392
