treated,rel_semester,n_papers,n_newcomer_papers,n_veteran_papers,n_top10_y,n_genes
0,-3,26.14543345487473,25.36334482080869,.782088634066012,5.163029541563459,7560
1,-3,20.26427167306728,19.87327359894201,.3909980741252698,3.863854176829981,11593
0,-2,30.69325516188917,28.36811317530785,2.325141986581263,5.019851621937232,7560
1,-2,23.60043517714985,22.4461502341754,1.154284942974446,3.644992043663732,11593
0,-1,36.37116645989666,32.46187340318466,3.909293056712097,6.995812296177919,7559
1,-1,27.85683878568213,25.86907120892553,1.987767576756595,5.180568404252685,11594
0,0,36.88689849053461,31.98174249436666,4.905155996168178,5.343023320466664,7560
1,0,28.01987387822143,25.41699199725559,2.602881880965851,3.86448685380355,11593
0,1,36.7813968648095,31.21003973497919,5.571357129830495,8.036410445527769,7559
1,1,27.97190046515395,24.97602768336658,2.995872781787364,5.850045220563341,11594
0,2,38.55187664881212,32.46848783339748,6.083388815414906,5.677385138316728,7560
1,2,29.0994181997183,25.85083871894325,3.248579480775051,4.052882050259326,11593
0,3,33.35682697209064,27.39599592382959,5.96083104826132,7.388467985398091,7558
1,3,25.44575252074949,22.20391728350463,3.241835237244857,5.420231041167452,11595
0,4,24.22035381444874,19.58575400733775,4.634599807111018,3.543414537640496,7559
1,4,18.36872531912465,15.83527716635899,2.533448152765663,2.603216724577316,11594
