period,coef,se,ci_low,ci_high
-3,2.677017785910487,.66112381,1.3812151,3.9728205
-2,1.465359582977394,.3364594,.8058992,2.12482
-1,0,0,0,0
0,-.3432344753409963,.11869229,-.57587135,-.1105976
1,-.249555737803672,.15186889,-.5472188,.0481073
2,-.9286683121227852,.23868506,-1.3964911,-.46084559
3,.6394018202564492,.23790742,.17310327,1.1057004
4,2.697086897342763,.68418062,1.3560929,4.0380807
