period,coef,se,ci_low,ci_high
-2,.2741487419211237,.2210456,-.15910062,.70739812
-1,0,0,0,0
0,.743027422375194,.31338653,.12878983,1.357265
1,1.068855213406049,.27211982,.53550035,1.60221
2,.2924361682403387,.21930958,-.13741063,.72228295
3,2.159428695861838,.46440041,1.2492039,3.0696535
4,2.145625840914074,.61003065,.94996572,3.3412859
