period,coef,se,ci_low,ci_high
-2,-.0251790119152208,.037111439,-.09791743,.04755941
-1,0,0,0,0
0,.3735869272770322,.075762652,.22509213,.52208173
1,.4871031298881111,.11364063,.26436749,.70983875
2,.4879620662912614,.093983062,.30375525,.67216885
3,.8757214675222537,.18272386,.51758265,1.2338603
4,1.372073154215413,.27697372,.82920462,1.9149417
