period,coef,se,ci_low,ci_high
-2,.2489697300055138,.2337047,-.20909147,.70703095
-1,0,0,0,0
0,1.116614349651909,.36083904,.40936983,1.8238589
1,1.555958343293925,.35395294,.86221057,2.249706
2,.7803982345314252,.27883446,.23388267,1.3269138
3,3.035150163383503,.61348474,1.8327202,4.2375803
4,3.51769899512888,.84571069,1.860106,5.175292
