period,coef,se,ci_low,ci_high
-2,.0438854787807421,.062067509,-.077766836,.16553779
-1,0,0,0,0
0,-.0309676533578933,.059622012,-.14782681,.085891493
1,.0773434385700289,.049014684,-.018725343,.17341222
2,.0057954522540612,.046530262,-.08540386,.096994765
3,.1213309609163126,.054031231,.01542975,.22723217
4,.0385986146250372,.043779392,-.047208995,.12440623
