period,coef,se,ci_low,ci_high
-2,.0086681240492179,.011681279,-.014227183,.031563431
-1,0,0,0,0
0,.0122985971856739,.014193161,-.015519999,.040117193
1,-.0538381188688884,.02301367,-.09894491,-.008731327
2,.0632597309542546,.0214779,.021163044,.10535642
3,.0139811878904761,.014365826,-.01417583,.042138208
4,-.0184600424848829,.015407745,-.04865922,.011739137
