period,coef,se,ci_low,ci_high
-3,1.140645559995521,.40821993,.34053448,1.9407567
-2,.7087538407293565,.21956329,.27840981,1.1390979
-1,0,0,0,0
0,.0367092462844444,.13448714,-.22688554,.30030403
1,.3982004358360463,.17342247,.058292389,.73810846
2,-.0161893710587621,.19818489,-.40463173,.372253
3,1.431474442454059,.35629648,.73313338,2.1298156
4,2.871580740930967,.7309106,1.438996,4.3041654
